lexeme                         lineno                         tokenName                      valueIfNumber                  parentNodeSymbol               isLeafNode                     NodeSymbol                    
---                            11                             ---                            ---                            factor                         No                             arithmeticExpression          
---                            11                             TK_PLUS                        ---                            lowPrecedenceOperator          Yes                           ---                           
---                            11                             ---                            ---                            expPrime                       No                             lowPrecedenceOperator         
---                            11                             ---                            ---                            arithmeticExpression           No                             expPrime                      
---                            11                             TK_NUM                         2                             var                            Yes                           ---                           
---                            11                             ---                            ---                            factor                         No                             var                           
---                            11                             ---                            ---                            term                           No                             factor                        
---                            11                             ---                            ---                            expPrime                       No                             term                          
---                            11                             TK_MUL                         ---                            highPrecdenceOperator          Yes                           ---                           
---                            11                             ---                            ---                            termPrime                      No                             highPrecdenceOperator         
---                            11                             ---                            ---                            term                           No                             termPrime                     
---                            11                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            11                             ---                            ---                            var                            No                             singleOrRecId                 
---                            11                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            11                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            11                             ---                            ---                            factor                         No                             var                           
---                            11                             ---                            ---                            termPrime                      No                             factor                        
---                            11                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            11                             ---                            ---                            termPrime                      No                             termPrime                     
---                            11                             TK_MINUS                       ---                            lowPrecedenceOperator          Yes                           ---                           
---                            11                             ---                            ---                            expPrime                       No                             lowPrecedenceOperator         
---                            11                             ---                            ---                            expPrime                       No                             expPrime                      
---                            11                             TK_OP                          ---                            factor                         Yes                           ---                           
---                            11                             ---                            ---                            term                           No                             factor                        
---                            11                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            11                             ---                            ---                            var                            No                             singleOrRecId                 
---                            11                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            11                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            11                             ---                            ---                            factor                         No                             var                           
---                            11                             ---                            ---                            term                           No                             factor                        
---                            11                             ---                            ---                            arithmeticExpression           No                             term                          
---                            11                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            11                             ---                            ---                            term                           No                             termPrime                     
---                            11                             ---                            ---                            factor                         No                             arithmeticExpression          
---                            11                             TK_MINUS                       ---                            lowPrecedenceOperator          Yes                           ---                           
---                            11                             ---                            ---                            expPrime                       No                             lowPrecedenceOperator         
---                            11                             ---                            ---                            arithmeticExpression           No                             expPrime                      
---                            11                             TK_NUM                         5                             var                            Yes                           ---                           
---                            11                             ---                            ---                            factor                         No                             var                           
---                            11                             ---                            ---                            term                           No                             factor                        
---                            11                             ---                            ---                            expPrime                       No                             term                          
---                            11                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            11                             ---                            ---                            term                           No                             termPrime                     
---                            11                             ---                            ---                            expPrime                       Yes                           EPSILON                       
---                            11                             ---                            ---                            expPrime                       No                             expPrime                      
---                            11                             TK_CL                          ---                            factor                         Yes                           ---                           
---                            11                             ---                            ---                            expPrime                       No                             term                          
---                            11                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            11                             ---                            ---                            term                           No                             termPrime                     
---                            11                             ---                            ---                            expPrime                       Yes                           EPSILON                       
---                            11                             ---                            ---                            expPrime                       No                             expPrime                      
---                            11                             TK_CL                          ---                            factor                         Yes                           ---                           
---                            11                             ---                            ---                            arithmeticExpression           No                             term                          
---                            11                             TK_DIV                         ---                            highPrecdenceOperator          Yes                           ---                           
---                            11                             ---                            ---                            termPrime                      No                             highPrecdenceOperator         
---                            11                             ---                            ---                            term                           No                             termPrime                     
---                            11                             TK_NUM                         4                             var                            Yes                           ---                           
---                            11                             ---                            ---                            factor                         No                             var                           
---                            11                             ---                            ---                            termPrime                      No                             factor                        
---                            11                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            11                             ---                            ---                            termPrime                      No                             termPrime                     
---                            11                             ---                            ---                            factor                         No                             arithmeticExpression          
---                            11                             ---                            ---                            expPrime                       Yes                           EPSILON                       
---                            11                             ---                            ---                            arithmeticExpression           No                             expPrime                      
---                            11                             TK_CL                          ---                            factor                         Yes                           ---                           
---                            11                             ---                            ---                            arithmeticExpression           No                             term                          
---                            11                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            11                             ---                            ---                            term                           No                             termPrime                     
---                            11                             ---                            ---                            assignmentStmt                 No                             arithmeticExpression          
---                            11                             ---                            ---                            expPrime                       Yes                           EPSILON                       
---                            11                             ---                            ---                            arithmeticExpression           No                             expPrime                      
---                            11                             TK_SEM                         ---                            assignmentStmt                 Yes                           ---                           
---                            11                             ---                            ---                            otherStmts                     No                             stmt                          
---                            10                             ---                            ---                            otherStmts                     No                             otherStmts                    
---                            12                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            12                             ---                            ---                            assignmentStmt                 No                             singleOrRecId                 
---                            12                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            12                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            12                             ---                            ---                            stmt                           No                             assignmentStmt                
---                            12                             TK_ASSIGNOP                    ---                            assignmentStmt                 Yes                           ---                           
---                            12                             TK_OP                          ---                            factor                         Yes                           ---                           
---                            12                             ---                            ---                            term                           No                             factor                        
---                            12                             TK_OP                          ---                            factor                         Yes                           ---                           
---                            12                             ---                            ---                            term                           No                             factor                        
---                            12                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            12                             ---                            ---                            var                            No                             singleOrRecId                 
---                            12                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            12                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            12                             ---                            ---                            factor                         No                             var                           
---                            12                             ---                            ---                            term                           No                             factor                        
---                            12                             ---                            ---                            arithmeticExpression           No                             term                          
---                            12                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            12                             ---                            ---                            term                           No                             termPrime                     
---                            12                             ---                            ---                            factor                         No                             arithmeticExpression          
---                            12                             TK_MINUS                       ---                            lowPrecedenceOperator          Yes                           ---                           
---                            12                             ---                            ---                            expPrime                       No                             lowPrecedenceOperator         
---                            12                             ---                            ---                            arithmeticExpression           No                             expPrime                      
---                            12                             TK_RNUM                        2.35                          var                            Yes                           ---                           
---                            12                             ---                            ---                            factor                         No                             var                           
---                            12                             ---                            ---                            term                           No                             factor                        
---                            12                             ---                            ---                            expPrime                       No                             term                          
---                            12                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            12                             ---                            ---                            term                           No                             termPrime                     
---                            12                             ---                            ---                            expPrime                       Yes                           EPSILON                       
---                            12                             ---                            ---                            expPrime                       No                             expPrime                      
---                            12                             TK_CL                          ---                            factor                         Yes                           ---                           
---                            12                             ---                            ---                            arithmeticExpression           No                             term                          
---                            12                             TK_MUL                         ---                            highPrecdenceOperator          Yes                           ---                           
---                            12                             ---                            ---                            termPrime                      No                             highPrecdenceOperator         
---                            12                             ---                            ---                            term                           No                             termPrime                     
---                            12                             TK_OP                          ---                            factor                         Yes                           ---                           
---                            12                             ---                            ---                            termPrime                      No                             factor                        
---                            12                             TK_NUM                         2345                          var                            Yes                           ---                           
---                            12                             ---                            ---                            factor                         No                             var                           
---                            12                             ---                            ---                            term                           No                             factor                        
---                            12                             ---                            ---                            arithmeticExpression           No                             term                          
---                            12                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            12                             ---                            ---                            term                           No                             termPrime                     
---                            12                             ---                            ---                            factor                         No                             arithmeticExpression          
---                            12                             TK_MINUS                       ---                            lowPrecedenceOperator          Yes                           ---                           
---                            12                             ---                            ---                            expPrime                       No                             lowPrecedenceOperator         
---                            12                             ---                            ---                            arithmeticExpression           No                             expPrime                      
